Vehicle Type/Size, Vehicle Color, Vehicle Movement Direction, Vehicle Speed (km/h)
car,white,down,30.990135669708252
car,white,down,51.62563920021057
car,white,down,51.27001404762268
car,white,down,7.9559326171875
person,white,down,43.81663799285889
person,white,down,0.7769465446472168
person,white,down,9.547591209411621
person,white,down,16.9256329536438
bus,white,down,n.a.
person,white,down,43.1612491607666
